Molecule ChEMBL ID,Standard Value,Smiles,Source Description,Assay Description,Assay Type,Assay Organism,Assay Tissue Name,Document Journal,Document Year,Target Name,Standard Type,Standard Units,pChEMBL Value,Molecular Weight,AlogP
CHEMBL68609,4.7,CC1(N)CCN(C(=O)[C@](O)(c2ccccc2)[C@@H]2CCC(F)(F)C2)CC1,Scientific Literature,Binding affinity against human Muscarinic acetylcholine receptor M1 in transfected CHO cells,B,,,Bioorg Med Chem Lett,2003.0,Muscarinic acetylcholine receptor M1,Ki,nM,8.33,352.43,2.65
CHEMBL136027,1995.26,COc1nsnc1OCCCCCCCCCCCCOc1nsnc1C1=CCCN(C)C1,Scientific Literature,Inhibition of [3H](R)-QNB to Muscarinic acetylcholine receptor M1 expressed in A9 L cells,B,Homo sapiens,,J Med Chem,2003.0,Muscarinic acetylcholine receptor M1,Ki,nM,5.7,495.72,5.48
CHEMBL22108,263.03,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,Scientific Literature,Affinity for Muscarinic acetylcholine receptor M1 expressed in CHO cells by [3H]NMS displacement.,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M1,Ki,nM,6.58,292.43,4.15
CHEMBL105160,3090.3,CCCCCCc1[nH]c2ccc3c(c2c1C(=O)OCC)CN1CCc2cc(OC)ccc2C1O3,Scientific Literature,Inhibition of [3H]NMS binding to human muscarinic acetylcholine receptor M1 in transfected CHO cells.,B,,,J Med Chem,2002.0,Muscarinic acetylcholine receptor M1,Ki,nM,5.51,462.59,5.93
CHEMBL357444,220.0,COc1ccccc1C1=CN2CCC1CC2,Scientific Literature,Binding affinity for muscarinic acetylcholine receptor M1 by measuring displacement of [3H]QNB from guinea pig cerebral cortex,B,Cavia porcellus,Cerebral cortex,J Med Chem,1995.0,Muscarinic acetylcholine receptor M1,Ki,nM,6.66,215.3,2.76
CHEMBL1092813,10000.0,Cc1ncccc1[C@@H](C)c1c(CCN(C)C)sc2ccccc12,Scientific Literature,Displacement of [3H]N-methylscopolamine from human muscarinic M1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting,B,Homo sapiens,,Bioorg Med Chem Lett,2010.0,Muscarinic acetylcholine receptor M1,Ki,nM,,324.49,4.86
CHEMBL1092765,10000.0,C[C@H](c1cccnc1F)c1c(CCN(C)C)sc2ccccc12,Scientific Literature,Displacement of [3H]N-methylscopolamine from human muscarinic M1 receptor expressed in CHO Flp-In cells after 90 mins by scintillation counting,B,Homo sapiens,,Bioorg Med Chem Lett,2010.0,Muscarinic acetylcholine receptor M1,Ki,nM,,328.46,4.69
CHEMBL28833,10000.0,CCCc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,Scientific Literature,Binding affinity to cloned Muscarinic acetylcholine receptor M1,B,,,Bioorg Med Chem Lett,2001.0,Muscarinic acetylcholine receptor M1,Ki,nM,,334.47,3.84
CHEMBL284137,2.9,CCN(CC)CCCOC(=O)C(C)(c1ccccc1)C1CCCCC1,Scientific Literature,Antimuscarinic potency and subset specificity was characterised by its inhibition of the [3H]NMS Binding to Muscarinic acetylcholine receptor M1 subtype,B,,,J Med Chem,1992.0,Muscarinic acetylcholine receptor M1,Ki,nM,8.54,345.53,4.8
CHEMBL70531,77.0,CC(c1ccc(S(=O)(=O)c2ccccc2)cc1)N1CCN(CCO)CC1,Scientific Literature,Binding affinity towards the cloned human Muscarinic acetylcholine receptor M1,B,,,Bioorg Med Chem Lett,2000.0,Muscarinic acetylcholine receptor M1,Ki,nM,7.11,374.51,2.19
